Run, Part, Dest, Source,TotalPackets, PacketID,Hops,Latency,Reliability,Delivered
1,1,D19,S3,14,5,2,2,3.0,1
1,1,D8,S2,6,18,3,3,1.0,1
1,1,D19,S3,14,2,2,4,3.0,1
1,1,D8,S2,6,19,3,6,1.0,1
1,1,D19,S3,14,10,2,6,3.0,1
1,1,D19,S3,14,13,2,8,3.0,1
1,1,D8,S2,6,15,3,9,1.0,1
1,1,D19,S3,14,4,2,10,3.0,1
1,1,D8,S2,6,17,3,12,1.0,1
1,1,D19,S3,14,7,2,12,3.0,1
1,1,D8,S2,6,16,3,15,1.0,1
1,1,D8,S2,6,20,3,18,1.0,1
1,1,D19,S3,14,1,0,45,4.0,0
1,1,D19,S3,14,3,0,45,4.0,0
1,1,D19,S3,14,6,0,45,4.0,0
1,1,D19,S3,14,8,0,45,4.0,0
1,1,D19,S3,14,9,1,45,4.0,0
1,1,D19,S3,14,11,0,45,4.0,0
1,1,D19,S3,14,12,0,45,4.0,0
1,1,D19,S3,14,14,0,45,4.0,0
1,2,D19,S3,14,5,2,2,3.0,1
1,2,D8,S3,6,18,3,3,1.0,1
1,2,D19,S3,14,2,2,5,3.0,1
1,2,D8,S3,6,19,3,6,1.0,1
1,2,D19,S3,14,10,2,8,3.0,1
1,2,D8,S3,6,20,3,9,1.0,1
1,2,D19,S3,14,13,2,11,3.0,1
1,2,D8,S3,6,15,3,12,1.0,1
1,2,D19,S3,14,4,2,14,3.0,1
1,2,D8,S3,6,17,3,15,1.0,1
1,2,D19,S3,14,7,2,17,3.0,1
1,2,D8,S3,6,16,3,18,1.0,1
1,2,D19,S3,14,9,2,20,3.0,1
1,2,D19,S3,14,8,2,22,3.0,1
1,2,D19,S3,14,14,2,24,3.0,1
1,2,D19,S3,14,1,2,26,3.0,1
1,2,D19,S3,14,6,2,28,3.0,1
1,2,D19,S3,14,12,2,30,3.0,1
1,2,D19,S3,14,3,2,32,3.0,1
